fA	simulation	ksize	subst_rate	del_rate	ins_rate
0.16	5	41	0.008332610288452301	0.009881007531859443	0.009880007531859414
0.16	6	21	0.009428731047857474	0.010193586694620636	0.01002558669462069
0.16	6	31	0.009469538031111762	0.010139177383614917	0.00997117738361497
0.16	6	41	0.00950835421212308	0.010087422475599836	0.009919422475599888
0.16	7	21	0.010954876733542918	0.009989895805504063	0.009916895805504075
0.16	7	31	0.010934095982163834	0.01001760347400952	0.00994460347400953
0.16	7	41	0.010967770726035088	0.009972703815514499	0.009899703815514513
0.16	8	21	0.009388637409612417	0.00998012851431436	0.009975128514314325
0.16	8	31	0.009425213950137241	0.009931359793614586	0.009926359793614553
0.16	8	41	0.00944414977452102	0.009906112027769557	0.009901112027769523
0.16	9	21	0.01099153815032634	0.010063529302848762	0.009933529302848798
0.16	9	31	0.011019340959530792	0.01002645889057616	0.009896458890576196
0.16	9	41	0.010978659332107085	0.010080701060474435	0.009950701060474472
0.17	0	21	0.00897936607998909	0.009998829984724665	0.009927829984724624
0.17	0	31	0.008950488714837413	0.010037333138260243	0.0099663331382602
0.17	0	41	0.008944982232337301	0.010044675114927055	0.009973675114927014
0.17	1	21	0.009397056162904432	0.00999461573127481	0.009923615731274765
0.17	1	31	0.009368190968830355	0.010033102656706911	0.009962102656706868
0.17	1	41	0.009362686807173072	0.010040441538916617	0.009969441538916575
0.17	2	21	0.009924817100868438	0.009941269698810522	0.010072269698810624
0.17	2	31	0.0099289814078398	0.009935717289515358	0.010066717289515463
0.17	2	41	0.009879285378082032	0.010001978662525725	0.010132978662525828
0.17	3	21	0.010450253842270654	0.009788683261112846	0.009972683261112808
0.17	3	31	0.010455878574460438	0.009781183618193131	0.009965183618193095
0.17	3	41	0.010471111619650919	0.009760872891272497	0.009944872891272459
0.17	4	21	0.01092123229816546	0.010047467662683014	0.009878467662683039
0.17	4	31	0.010924704561199435	0.010042837978637708	0.009873837978637735
0.17	4	41	0.010923444226894239	0.010044518424377967	0.009875518424377994
0.17	5	21	0.008042103865858125	0.009921671655406323	0.009920671655406294
0.17	5	31	0.008068661735198653	0.009886261162952282	0.009885261162952255
0.17	5	41	0.008070644279867072	0.009883617770061057	0.00988261777006103
0.17	6	21	0.009496871499526488	0.010192885487526032	0.010024885487526086
0.17	6	31	0.009537675675707362	0.01013847991928486	0.009970479919284916
0.17	6	41	0.009576489186590653	0.010086728571440481	0.009918728571440535
0.17	7	21	0.010681720466590112	0.009992654832955175	0.009919654832955186
0.17	7	31	0.01066093397594561	0.010020370153814519	0.009947370153814528
0.17	7	41	0.010694618020168398	0.009975458094850792	0.009902458094850802
0.17	8	21	0.009333720241365844	0.00998068178920847	0.009975681789208437
0.17	8	31	0.009370298809608208	0.009931910364885319	0.009926910364885286
0.17	8	41	0.009389235683749633	0.009906661199363426	0.009901661199363391
0.17	9	21	0.01086526677670354	0.010064814161085654	0.009934814161085688
0.17	9	31	0.010893073135623738	0.010027739015858725	0.009897739015858761
0.17	9	41	0.010852386314184838	0.010081988111110593	0.009951988111110628
0.18	0	21	0.008643873506038716	0.010002214912437824	0.009931214912437782
0.18	0	31	0.008614986364963884	0.01004073110053761	0.009969731100537567
0.18	0	41	0.00860947801834115	0.010048075562701257	0.009977075562701214
0.18	1	21	0.009361542941659196	0.009994974039315315	0.009923974039315272
