fA	simulation	subst_rate	del_rate	ins_rate
0.34	6	0.04887343413869956	0.05128370631044505	0.0504977063104451
0.34	7	0.05084438284327798	0.04998269604405665	0.04958969604405667
0.34	8	0.04943004173908221	0.04913947091363685	0.04903447091363683
0.34	9	0.04829512168301836	0.05072613816960688	0.05011713816960691
0.35	0	0.04718030701622016	0.05027268416544701	0.04946068416544697
0.35	1	0.048868053642886114	0.05018363525751777	0.04937163525751773
0.35	2	0.05145069665919838	0.05041299362711991	0.050065993627119915
0.35	3	0.05208445343124644	0.05116646503651596	0.050579465036515954
0.35	4	0.04884309379983445	0.051068872286333555	0.050546872286333526
0.35	5	0.050967597885569135	0.0502294172110731	0.049750417211073095
0.35	6	0.04957699694830187	0.051245770971665064	0.0504597709716651
0.35	7	0.050729096965216006	0.04998876701798041	0.04959576701798043
0.35	8	0.04985209698281038	0.049117652875739805	0.04901265287573978
0.35	9	0.048650061107576914	0.050707219798269074	0.0500982197982691
