ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.03	0.01	4	31	0.009558554058151373	0.03047293371187691	0.010735141260655817	1.5216437675342696e-16	4.054411514166842e-16	2.220446049250313e-16	0.04760024789641126
0.01	0.03	0.01	4	41	0.010096078603519278	0.029756234318053024	0.010018441866831934	0.0	0.0	0.0	0.048018886728820265
0.01	0.03	0.05	0	21	0.009928003436723388	0.0308622224828498	0.0500737202125076	0.015166746269211034	0.030634430473441762	0.05827345275529572	0.07956467724147454
0.01	0.03	0.05	0	31	0.00937142006284188	0.031604333648025146	0.050815831377682946	0.0	0.0	0.0	0.08170503630220594
0.01	0.03	0.05	0	41	0.008975372130380712	0.03213239755797336	0.051343895287631156	0.0809900029557569	0.18172845312171798	0.6537884575430104	0.08276923352796972
0.01	0.03	0.05	1	21	0.009928003436723388	0.0308622224828498	0.0500737202125076	0.015166746269211034	0.030634430473441762	0.05827345275529572	0.07956467724147454
0.01	0.03	0.05	1	31	0.00937142006284188	0.031604333648025146	0.050815831377682946	0.0	0.0	0.0	0.08170503630220594
0.01	0.03	0.05	1	41	0.008975372130380712	0.03213239755797336	0.051343895287631156	0.0809900029557569	0.18172845312171798	0.6537884575430104	0.08276923352796972
0.01	0.03	0.05	2	21	0.00875738926707726	0.031085752282723707	0.05063036115559317	0.015067149536079311	0.030140907982603535	0.05819014993490135	0.07987690347072685
0.01	0.03	0.05	2	31	0.008932464265854714	0.030852318951020443	0.05039692782388991	4.367745677435076e-17	8.984664169448862e-17	2.220446049250313e-16	0.0819650758303404
0.01	0.03	0.05	2	41	0.008432187412733104	0.03151935475518253	0.051063963628051975	0.0	0.0	0.0	0.08278280950968808
0.01	0.03	0.05	3	21	0.010645103709708798	0.029987668583486643	0.04980308254456797	0.015087025252596128	0.029327593356168618	0.05785985203005861	0.07966825223658303
0.01	0.03	0.05	3	31	0.010544426180330373	0.03012190528932457	0.0499373192504059	0.0	0.0	0.0	0.08179724514565567
0.01	0.03	0.05	3	41	0.010030803473017894	0.03080673556574122	0.05062214952682255	0.08216838728463802	0.16829826069957926	0.6323325241546469	0.08287452188653222
0.01	0.03	0.05	4	21	0.008601416835799472	0.03085896748724775	0.050781937710870736	0.015508380120363378	0.030277434511691244	0.05903832955327193	0.07985444244050321
0.01	0.03	0.05	4	31	0.008547378652101978	0.030931018398844462	0.05085398862246746	4.8828971224793426e-17	9.734564278411602e-17	2.220446049250313e-16	0.08209007333866025
0.01	0.03	0.05	4	41	0.008487966631456874	0.031010234426371266	0.05093320464999427	0.0	0.0	0.0	0.08324979662011156
0.01	0.04	0.01	0	21	0.01047266638384856	0.04041092913911006	0.010209896390142598	0.01574312835572882	0.05289224351383445	0.015074271695722175	0.05543143770230696
0.01	0.04	0.01	0	31	0.01086779002759897	0.039884097614109514	0.00968306486514205	0.10916212505904764	0.383587566931995	0.23662576825241954	0.05647232291417015
0.01	0.04	0.01	0	41	0.01098684213954149	0.03972536146485284	0.00952432871588538	0.15144189229193805	0.5284257770777597	0.7037755965561683	0.05691295869739288
0.01	0.04	0.01	1	21	0.01047266638384856	0.04041092913911006	0.010209896390142598	0.01574312835572882	0.05289224351383445	0.015074271695722175	0.05543143770230696
0.01	0.04	0.01	1	31	0.01086779002759897	0.039884097614109514	0.00968306486514205	0.10916212505904764	0.383587566931995	0.23662576825241954	0.05647232291417015
0.01	0.04	0.01	1	41	0.01098684213954149	0.03972536146485284	0.00952432871588538	0.15144189229193805	0.5284257770777597	0.7037755965561683	0.05691295869739288
0.01	0.04	0.01	2	21	0.01144132465848363	0.04094821796496157	0.010764937220491272	0.015775270968679537	0.05268763356755197	0.014923954706572706	0.05569949934494933
0.01	0.04	0.01	2	31	0.01205084270205749	0.040135527240196395	0.009952246495726094	0.0	0.0	0.0	0.056742773755667386
0.01	0.04	0.01	2	41	0.012158399086907114	0.03999211872706358	0.009808837982593285	6.362915743696258e-17	2.2165196995135549e-16	0.0	0.05728438154875404
0.01	0.04	0.01	3	21	0.010152309630484361	0.040823614297545024	0.010786178452767107	0.015677413007296782	0.05190504722312707	0.014850882600323079	0.055775444160996335
0.01	0.04	0.01	3	31	0.010256374637542599	0.04068486095480074	0.010647425110022824	6.861208663423872e-17	2.3136754057486074e-16	0.0	0.0569200321207195
0.01	0.04	0.01	3	41	0.010317482889692227	0.04060338328526791	0.010565947440490005	6.177925076268209e-17	2.143179478027013e-16	0.0	0.057534111009495126
0.01	0.04	0.01	4	21	0.009710811505176576	0.0405727294047004	0.010813408297044956	0.015970834075302552	0.05256117529790356	0.015320810724481548	0.05564522252797788
