ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.02	0	21	0.010310777455259271	0.010077728350574721	0.019782157475696758	0.010478200335223613	0.010469207380080054	0.021978345854101855	0.036830711731905996
0.01	0.01	0.02	0	31	0.01029833982214946	0.010094311861387805	0.01979874098650984	None	None	None	0.037633654072094735
0.01	0.01	0.02	0	41	0.010292744947155893	0.010101771694712559	0.019806200819834596	0.0	0.0	0.0	0.03804185003947569
0.01	0.01	0.02	1	21	0.010310777455259271	0.010077728350574721	0.019782157475696758	0.010478200335223613	0.010469207380080054	0.021978345854101855	0.036830711731905996
0.01	0.01	0.02	1	31	0.01029833982214946	0.010094311861387805	0.01979874098650984	None	None	None	0.037633654072094735
0.01	0.01	0.02	1	41	0.010292744947155893	0.010101771694712559	0.019806200819834596	0.0	0.0	0.0	0.03804185003947569
0.01	0.01	0.02	2	21	0.008580253128562504	0.010053357616055435	0.019949229926931395	0.010512701040066366	0.010467389707967125	0.022247812361521735	0.03690193672422537
0.01	0.01	0.02	2	31	0.008549493120418094	0.010094370960247982	0.019990243271123944	1.4698265490211386e-16	1.4616672512168822e-16	2.220446049250313e-16	0.037686640688217365
0.01	0.01	0.02	2	41	0.008537931518506696	0.010109786429463181	0.020005658740339143	None	None	None	0.03806566777321485
0.01	0.01	0.02	3	21	0.009682693389282137	0.010178890278981651	0.020034733560108976	0.010577621267085148	0.010599182299302592	0.02224508961251548	0.03710948069426612
0.01	0.01	0.02	3	31	0.009672257258777347	0.010192805119654704	0.020048648400782028	7.415335113094837e-17	7.321738611850333e-17	2.220446049250313e-16	0.037901853977376
0.01	0.01	0.02	3	41	0.009653338876813109	0.010218029628940332	0.02007387291006765	0.0	0.0	0.0	0.038316227993827945
0.01	0.01	0.02	4	21	0.009514601702602129	0.010166534379398582	0.0201598686757491	0.010977529834878052	0.010997240721949884	0.023304912928233	0.037068443853285005
0.01	0.01	0.02	4	31	0.009474758756842982	0.010219658307077455	0.020212992603427977	None	None	None	0.037899900838090916
0.01	0.01	0.02	4	41	0.009467508020380157	0.010229325955694547	0.02022266025204507	None	None	None	0.03829963587311225
0.01	0.01	0.03	0	21	0.00940725066866686	0.010065962353130974	0.029737271807117625	None	None	None	0.0451777694086124
0.01	0.01	0.03	0	31	0.009313724181693774	0.010190664335761766	0.029861973789748423	1.5826049743178845e-16	1.5816744831927687e-16	4.440892098500626e-16	0.04632970820731308
0.01	0.01	0.03	0	41	0.009257436991334857	0.010265713922906981	0.02993702337689363	0.018117234148387697	0.01810414448370802	0.058193919443548126	0.04692167315632878
0.01	0.01	0.03	1	21	0.00940725066866686	0.010065962353130974	0.029737271807117625	None	None	None	0.0451777694086124
0.01	0.01	0.03	1	31	0.009313724181693774	0.010190664335761766	0.029861973789748423	1.5826049743178845e-16	1.5816744831927687e-16	4.440892098500626e-16	0.04632970820731308
0.01	0.01	0.03	1	41	0.009257436991334857	0.010265713922906981	0.02993702337689363	0.018117234148387697	0.01810414448370802	0.058193919443548126	0.04692167315632878
0.01	0.01	0.03	2	21	0.01010336965794299	0.009994907907079202	0.029877152943914652	None	None	None	0.04538022153224164
0.01	0.01	0.03	2	31	0.010001505390905068	0.010130726929796413	0.030012971966631857	7.935669693194582e-17	7.926799295133196e-17	2.220446049250313e-16	0.04655060186462012
0.01	0.01	0.03	2	41	0.009960021016351208	0.01018603942920157	0.030068284466037015	0.11336160715145098	0.11378176110421494	0.7811773624564233	0.04712182443393509
0.01	0.01	0.03	3	21	0.009424877770698158	0.010197357900961681	0.02998492558047885	None	None	None	0.04558199832323673
0.01	0.01	0.03	3	31	0.00937105604540346	0.010269120201354624	0.030056687880871794	7.987786569116e-17	7.959901666689706e-17	2.220446049250313e-16	0.04674048740971137
0.01	0.01	0.03	3	41	0.009317025751926307	0.01034116059265749	0.030128728272174658	6.649893775600621e-17	6.596845042058012e-17	2.220446049250313e-16	0.04736677721857674
0.01	0.01	0.03	4	21	0.009218977868187967	0.010208563908392072	0.029988125781959512	None	None	None	0.04542711584489201
0.01	0.01	0.03	4	31	0.009138131429008902	0.010316359160630834	0.030095921034198277	7.92146028095002e-17	7.919700694047753e-17	2.220446049250313e-16	0.046598679427353185
0.01	0.01	0.03	4	41	0.00912266997537894	0.010336974432137446	0.030116536305704888	1.3108898973543712e-16	1.3177771912741367e-16	2.220446049250313e-16	0.04712276947488614
0.01	0.01	0.04	0	21	0.010661161544037111	0.010022579177971756	0.03955878195459415	0.009711056649669878	0.009702791596668082	0.040597581192239884	0.053292325532237395
0.01	0.01	0.04	0	31	0.010521451185462428	0.010208859656071323	0.03974506243269371	0.0	0.0	0.0	0.05472659924276435
0.01	0.01	0.04	0	41	0.010502397285160246	0.010234264856474242	0.039770467633096634	0.0	0.0	0.0	0.055421430488466705
0.01	0.01	0.04	1	21	0.010661161544037111	0.010022579177971756	0.03955878195459415	0.009711056649669878	0.009702791596668082	0.040597581192239884	0.053292325532237395
0.01	0.01	0.04	1	31	0.010521451185462428	0.010208859656071323	0.03974506243269371	0.0	0.0	0.0	0.05472659924276435
0.01	0.01	0.04	1	41	0.010502397285160246	0.010234264856474242	0.039770467633096634	0.0	0.0	0.0	0.055421430488466705
0.01	0.01	0.04	2	21	0.008748901774484757	0.010087689328061113	0.039900266449208154	0.009394542569655714	0.009457779473117064	0.04012929298490597	0.05365171924455314
0.01	0.01	0.04	2	31	0.008608590647156284	0.010274770831165759	0.0400873479523128	None	None	None	0.055064852103070105
0.01	0.01	0.04	2	41	0.008547132369365657	0.01035671520155329	0.04016929232270034	None	None	None	0.05572780602845839
0.01	0.01	0.04	3	21	0.009868610349267172	0.010164381180480318	0.03995746590453227	0.009597769540380788	0.009690640850581337	0.04063838002673248	0.05384024529708187
