L	simulation	ksize	subst_rate	del_rate	ins_rate
33333	7	41	-0.05000000000000003	0.06666666666666667	0.06666666666666667
33333	8	21	-0.04344127005734315	0.05792169340979088	0.05792169340979088
33333	8	31	-0.04036398141164457	0.05381864188219266	0.053818641882192646
33333	8	41	-0.04907306434023996	0.06543075245365323	0.06543075245365322
33333	9	21	-0.03312477904481593	0.04416637205975451	0.0441663720597545
33333	9	31	-0.028060831480951655	0.0374144419746022	0.0374144419746022
33333	9	41	-0.030116134111934905	0.04015484548257988	0.04015484548257988
33333	10	21	-0.04416163274881241	0.05888217699841652	0.05888217699841652
33333	10	31	-0.05075602778912967	0.06767470371883941	0.0676747037188394
33333	10	41	-0.05263157894736842	0.07017543859649122	0.07017543859649122
33333	11	21	-0.05194331799334758	0.06925775732446347	0.06925775732446347
33333	11	31	-0.060701510864342605	0.08093534781912338	0.08093534781912337
33333	11	41	-0.1756601607347876	0.23421354764638347	0.23421354764638347
33333	12	21	-0.03948755371766804	0.05265007162355739	0.05265007162355739
33333	12	31	-0.036506135918325265	0.04867484789110033	0.048674847891100326
33333	12	41	-0.025723274319906272	0.03429769909320832	0.03429769909320831
33333	13	21	-0.03983975072334744	0.05311966763112991	0.05311966763112991
33333	13	31	-0.042114498793595107	0.056152665058126786	0.056152665058126786
33333	13	41	-0.04073635286612594	0.054315137154834596	0.0543151371548346
33333	14	21	-0.03657089621107591	0.048761194948101154	0.04876119494810114
33333	14	31	-0.037642436149312404	0.05018991486574984	0.05018991486574984
33333	14	41	-0.046434254303486196	0.061912339071314916	0.061912339071314916
33333	15	21	-0.032212620475200564	0.04295016063360077	0.04295016063360077
33333	15	31	-0.03179914359922315	0.04239885813229754	0.04239885813229754
33333	15	41	-0.028285209192692954	0.03771361225692398	0.03771361225692399
33333	16	21	-0.04553571428571429	0.06071428571428572	0.06071428571428572
33333	16	31	-0.035449299258037914	0.047265732344050564	0.047265732344050564
33333	16	41	-0.07630140242453055	0.10173520323270738	0.10173520323270738
33333	17	21	-0.05622095841659078	0.07496127788878773	0.07496127788878773
33333	17	31	-0.04893854748603351	0.0652513966480447	0.0652513966480447
33333	17	41	-0.03641923825410063	0.04855898433880085	0.04855898433880085
