ps	pd	d	seed	ksize	subst_rate_lin	del_rate_lin	ins_rate_lin	subst_rate_poly	del_rate_poly	ins_rate_poly	subst_rate_smm
0.01	0.01	0.02	1	41	0.0049508785748589605	0.01796192021358323	0.027213909792827454	0.0	0.0	0.0	0.036513937152632736
0.01	0.01	0.02	2	21	0.0023134817638985642	0.01926790107890604	0.028751859538632643	0.009808488794065425	0.018917307885192837	0.010426570187827444	0.03595942171683575
0.01	0.01	0.02	2	31	0.002285450473513112	0.019305276132753308	0.028789234592479913	0.13507581613367955	0.2614860970782503	0.2925641582314913	0.03687186445329915
0.01	0.01	0.02	2	41	0.0020784424310387344	0.019581286856052482	0.02906524531577909	None	None	None	0.03738741745808738
0.01	0.01	0.02	3	21	0.002837966073628225	0.01969986922351148	0.029567468524036085	0.010687334598986869	0.020212042879199026	0.011628390066887873	0.03710590638435973
0.01	0.01	0.02	3	31	0.0027128153146573374	0.01986673690213933	0.02973433620266394	2.3954233837535084e-16	4.3773563122326717e-16	2.220446049250313e-16	0.03819612059476596
0.01	0.01	0.02	3	41	0.0025750713483752557	0.020050395523848772	0.029917994824373382	0.0	0.0	0.0	0.03870411573467103
0.01	0.01	0.02	4	21	0.0013206519376258543	0.019044290429432637	0.028144608048361233	0.008681564946956835	0.018960315239924322	0.011059212976846533	0.03474799173518339
0.01	0.01	0.02	4	31	0.0010616857661118074	0.019389578658118044	0.028489896277046647	None	None	None	0.03565307198758949
0.01	0.01	0.02	4	41	0.0008654066900401691	0.019651284092880226	0.028751601711808825	9.259080658998114e-17	2.1521656118047113e-16	2.220446049250313e-16	0.03620555927003144
0.01	0.01	0.03	0	21	-0.0001946313076768182	0.027059154722521257	0.04580402464151063	0.007757092545305183	0.021534087634823253	0.008171711598914166	0.04348882040193314
0.01	0.01	0.03	0	31	-0.0003602175045262934	0.027279936318320593	0.04602480623730998	1.740281467893674e-16	4.842947101007504e-16	2.220446049250313e-16	0.04465170012605468
0.01	0.01	0.03	0	41	-0.00046267238275380897	0.027416542822623943	0.046161412741613325	0.18702370475530947	0.5167464096672314	1.469186324732457	0.045096232211479736
0.01	0.01	0.03	1	21	-0.0001946313076768182	0.027059154722521257	0.04580402464151063	0.007757092545305183	0.021534087634823253	0.008171711598914166	0.04348882040193314
0.01	0.01	0.03	1	31	-0.0003602175045262934	0.027279936318320593	0.04602480623730998	1.740281467893674e-16	4.842947101007504e-16	2.220446049250313e-16	0.04465170012605468
0.01	0.01	0.03	1	41	-0.00046267238275380897	0.027416542822623943	0.046161412741613325	0.18702370475530947	0.5167464096672314	1.469186324732457	0.045096232211479736
0.01	0.01	0.03	2	21	-0.0021748457913839288	0.027332853787242713	0.046737942827605246	0.007232438146723559	0.021017951646417767	0.007838667031928814	0.043549947876338035
0.01	0.01	0.03	2	31	-0.002005977373581139	0.027107695896839	0.04651278493720154	5.664841638125642e-17	1.6435249859146035e-16	0.0	0.04455099257723427
0.01	0.01	0.03	2	41	-0.002542273795800184	0.027822757793131064	0.047227846833493604	8.889357796313131e-17	2.643306062499193e-16	0.0	0.04517079378764721
0.01	0.01	0.03	3	21	-0.0033024974950055896	0.029382524833661317	0.049840395716213785	0.011109010685979295	0.03417164972432508	0.012889640967899352	0.04510839191343319
0.01	0.01	0.03	3	31	-0.004309037167580823	0.030724577730428287	0.05118244861298075	0.09574143975734281	0.29092209803915875	0.19362732875514777	0.046814573751919664
